PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,ATWORK,-9
ALL,1,EATOUT,-47
ALL,1,ESCORT,22
ALL,1,HOME,595
ALL,1,OTHDISCR,6
ALL,1,OTHMAINT,131
ALL,1,SCHOOL,-176
ALL,1,SHOPPING,-121
ALL,1,SOCIAL,61
ALL,1,UNIVERSITY,12
ALL,1,WORK,-379
ALL,2,ATWORK,-35
ALL,2,EATOUT,-59
ALL,2,ESCORT,-67
ALL,2,HOME,1087
ALL,2,OTHDISCR,-44
ALL,2,OTHMAINT,-57
ALL,2,SCHOOL,-224
ALL,2,SHOPPING,-110
ALL,2,SOCIAL,96
ALL,2,UNIVERSITY,-5
ALL,2,WORK,-430
ALL,3,ATWORK,-54
ALL,3,EATOUT,-39
ALL,3,ESCORT,37
ALL,3,HOME,1513
ALL,3,OTHDISCR,-143
ALL,3,OTHMAINT,-124
ALL,3,SCHOOL,-258
ALL,3,SHOPPING,-77
ALL,3,SOCIAL,122
ALL,3,UNIVERSITY,-2
ALL,3,WORK,-845
ALL,4,ATWORK,-22
ALL,4,EATOUT,-3
ALL,4,ESCORT,-22
ALL,4,HOME,2051
ALL,4,OTHDISCR,-53
ALL,4,OTHMAINT,-56
ALL,4,SCHOOL,-276
ALL,4,SHOPPING,-10
ALL,4,SOCIAL,68
ALL,4,UNIVERSITY,-5
ALL,4,WORK,-1358
ALL,5,ATWORK,-11
ALL,5,EATOUT,143
ALL,5,ESCORT,-151
ALL,5,HOME,2137
ALL,5,OTHDISCR,-82
ALL,5,OTHMAINT,-236
ALL,5,SCHOOL,-308
ALL,5,SHOPPING,-125
ALL,5,SOCIAL,194
ALL,5,UNIVERSITY,31
ALL,5,WORK,-1837
ALL,6,ATWORK,54
ALL,6,EATOUT,-33
ALL,6,ESCORT,-390
ALL,6,HOME,2846
ALL,6,OTHDISCR,74
ALL,6,OTHMAINT,-464
ALL,6,SCHOOL,-329
ALL,6,SHOPPING,-250
ALL,6,SOCIAL,133
ALL,6,UNIVERSITY,57
ALL,6,WORK,-3639
ALL,7,ATWORK,-49
ALL,7,EATOUT,319
ALL,7,ESCORT,52
ALL,7,HOME,4925
ALL,7,OTHDISCR,18
ALL,7,OTHMAINT,39
ALL,7,SCHOOL,-644
ALL,7,SHOPPING,-210
ALL,7,SOCIAL,225
ALL,7,UNIVERSITY,151
ALL,7,WORK,-1328
ALL,8,ATWORK,41
ALL,8,EATOUT,346
ALL,8,ESCORT,425
ALL,8,HOME,1650
ALL,8,OTHDISCR,355
ALL,8,OTHMAINT,485
ALL,8,SCHOOL,-1380
ALL,8,SHOPPING,129
ALL,8,SOCIAL,256
ALL,8,UNIVERSITY,242
ALL,8,WORK,1315
ALL,9,ATWORK,-23
ALL,9,EATOUT,270
ALL,9,ESCORT,251
ALL,9,HOME,-624
ALL,9,OTHDISCR,78
ALL,9,OTHMAINT,262
ALL,9,SCHOOL,-1657
ALL,9,SHOPPING,159
ALL,9,SOCIAL,33
ALL,9,UNIVERSITY,356
ALL,9,WORK,5004
ALL,10,ATWORK,-14
ALL,10,EATOUT,269
ALL,10,ESCORT,-2
ALL,10,HOME,-3561
ALL,10,OTHDISCR,-215
ALL,10,OTHMAINT,-312
ALL,10,SCHOOL,-1602
ALL,10,SHOPPING,278
ALL,10,SOCIAL,172
ALL,10,UNIVERSITY,374
ALL,10,WORK,6751
ALL,11,ATWORK,-32
ALL,11,EATOUT,347
ALL,11,ESCORT,-857
ALL,11,HOME,-5313
ALL,11,OTHDISCR,-340
ALL,11,OTHMAINT,433
ALL,11,SCHOOL,-1180
ALL,11,SHOPPING,35
ALL,11,SOCIAL,175
ALL,11,UNIVERSITY,231
ALL,11,WORK,7874
ALL,12,ATWORK,103
ALL,12,EATOUT,250
ALL,12,ESCORT,-149
ALL,12,HOME,-6892
ALL,12,OTHDISCR,-156
ALL,12,OTHMAINT,163
ALL,12,SCHOOL,-1429
ALL,12,SHOPPING,310
ALL,12,SOCIAL,138
ALL,12,UNIVERSITY,174
ALL,12,WORK,8682
ALL,13,ATWORK,206
ALL,13,EATOUT,503
ALL,13,ESCORT,411
ALL,13,HOME,-7940
ALL,13,OTHDISCR,258
ALL,13,OTHMAINT,278
ALL,13,SCHOOL,-1175
ALL,13,SHOPPING,307
ALL,13,SOCIAL,134
ALL,13,UNIVERSITY,240
ALL,13,WORK,8960
ALL,14,ATWORK,0
ALL,14,EATOUT,606
ALL,14,ESCORT,162
ALL,14,HOME,-8326
ALL,14,OTHDISCR,221
ALL,14,OTHMAINT,-275
ALL,14,SCHOOL,-1055
ALL,14,SHOPPING,-717
ALL,14,SOCIAL,-13
ALL,14,UNIVERSITY,228
ALL,14,WORK,9573
ALL,15,ATWORK,181
ALL,15,EATOUT,552
ALL,15,ESCORT,325
ALL,15,HOME,-8869
ALL,15,OTHDISCR,-48
ALL,15,OTHMAINT,764
ALL,15,SCHOOL,-1073
ALL,15,SHOPPING,-576
ALL,15,SOCIAL,35
ALL,15,UNIVERSITY,62
ALL,15,WORK,9633
ALL,16,ATWORK,233
ALL,16,EATOUT,400
ALL,16,ESCORT,439
ALL,16,HOME,-8232
ALL,16,OTHDISCR,-327
ALL,16,OTHMAINT,69
ALL,16,SCHOOL,-948
ALL,16,SHOPPING,-194
ALL,16,SOCIAL,301
ALL,16,UNIVERSITY,137
ALL,16,WORK,9385
ALL,17,ATWORK,256
ALL,17,EATOUT,264
ALL,17,ESCORT,-221
ALL,17,HOME,-8380
ALL,17,OTHDISCR,-97
ALL,17,OTHMAINT,-541
ALL,17,SCHOOL,-1199
ALL,17,SHOPPING,-662
ALL,17,SOCIAL,36
ALL,17,UNIVERSITY,77
ALL,17,WORK,10297
ALL,18,ATWORK,1533
ALL,18,EATOUT,-16
ALL,18,ESCORT,50
ALL,18,HOME,-8933
ALL,18,OTHDISCR,-177
ALL,18,OTHMAINT,71
ALL,18,SCHOOL,-1038
ALL,18,SHOPPING,-1221
ALL,18,SOCIAL,115
ALL,18,UNIVERSITY,188
ALL,18,WORK,9195
ALL,19,ATWORK,1497
ALL,19,EATOUT,67
ALL,19,ESCORT,197
ALL,19,HOME,-8689
ALL,19,OTHDISCR,312
ALL,19,OTHMAINT,87
ALL,19,SCHOOL,-1093
ALL,19,SHOPPING,-1201
ALL,19,SOCIAL,-123
ALL,19,UNIVERSITY,191
ALL,19,WORK,8141
ALL,20,ATWORK,2224
ALL,20,EATOUT,223
ALL,20,ESCORT,139
ALL,20,HOME,-9074
ALL,20,OTHDISCR,674
ALL,20,OTHMAINT,-443
ALL,20,SCHOOL,-1134
ALL,20,SHOPPING,-1200
ALL,20,SOCIAL,-106
ALL,20,UNIVERSITY,265
ALL,20,WORK,9070
ALL,21,ATWORK,929
ALL,21,EATOUT,-245
ALL,21,ESCORT,454
ALL,21,HOME,-8970
ALL,21,OTHDISCR,751
ALL,21,OTHMAINT,554
ALL,21,SCHOOL,-1060
ALL,21,SHOPPING,-1065
ALL,21,SOCIAL,-381
ALL,21,UNIVERSITY,222
ALL,21,WORK,9327
ALL,22,ATWORK,207
ALL,22,EATOUT,-530
ALL,22,ESCORT,348
ALL,22,HOME,-8792
ALL,22,OTHDISCR,766
ALL,22,OTHMAINT,375
ALL,22,SCHOOL,-986
ALL,22,SHOPPING,-905
ALL,22,SOCIAL,-168
ALL,22,UNIVERSITY,226
ALL,22,WORK,9320
ALL,23,ATWORK,48
ALL,23,EATOUT,-193
ALL,23,ESCORT,72
ALL,23,HOME,-9771
ALL,23,OTHDISCR,616
ALL,23,OTHMAINT,279
ALL,23,SCHOOL,-1157
ALL,23,SHOPPING,36
ALL,23,SOCIAL,-26
ALL,23,UNIVERSITY,468
ALL,23,WORK,9671
ALL,24,ATWORK,116
ALL,24,EATOUT,155
ALL,24,ESCORT,97
ALL,24,HOME,-10283
ALL,24,OTHDISCR,825
ALL,24,OTHMAINT,-63
ALL,24,SCHOOL,-859
ALL,24,SHOPPING,-837
ALL,24,SOCIAL,9
ALL,24,UNIVERSITY,459
ALL,24,WORK,9270
ALL,25,ATWORK,73
ALL,25,EATOUT,-214
ALL,25,ESCORT,851
ALL,25,HOME,-9882
ALL,25,OTHDISCR,748
ALL,25,OTHMAINT,1232
ALL,25,SCHOOL,-966
ALL,25,SHOPPING,-144
ALL,25,SOCIAL,96
ALL,25,UNIVERSITY,506
ALL,25,WORK,9918
ALL,26,ATWORK,-273
ALL,26,EATOUT,-353
ALL,26,ESCORT,1399
ALL,26,HOME,-8687
ALL,26,OTHDISCR,398
