Points of Interest,Lat,Long,Grouping,Value,Ton
I-205 A,45.370505,-122.592606,Agg-LT,23.4,105
I-205 A,45.370505,-122.592606,Agg-MT,61.1,140
I-205 A,45.370505,-122.592606,Agg-LT2,23.4,105
I-205 A,45.370505,-122.592606,Agg-MT2,61.1,140
I-205 A,45.370505,-122.592606,Agg-LT3,23.4,105
I-205 A,45.370505,-122.592606,Agg-MT3,61.1,140
I-205 A,45.370505,-122.592606,Agg-XLT,23.4,105
I-205 A,45.370505,-122.592606,Agg-XMT,61.1,140
I-205 A,45.370505,-122.592606,Agg-XLT2,23.4,105
I-205 A,45.370505,-122.592606,Agg-XMT2,61.1,140
I-205 A,45.370505,-122.592606,Agg-XLT3,23.4,105
I-205 A,45.370505,-122.592606,Agg-XMT3,61.1,140
I-205 A,45.370505,-122.592606,Agg-SLT,23.4,105
I-205 A,45.370505,-122.592606,Agg-SMT,61.1,140
I-205 A,45.370505,-122.592606,Agg-SLT2,23.4,105
I-205 A,45.370505,-122.592606,Agg-SMT2,61.1,140
I-205 A,45.370505,-122.592606,Agg-SLT3,23.4,105
I-205 A,45.370505,-122.592606,Agg-SMT3,61.1,140
I-5 A,45.462857,-122.701659,Agg-LT,55,112
I-5 A,45.462857,-122.701659,Agg-MT,79,128
I-5 A,45.462857,-122.701659,Agg-LT2,55,112
I-5 A,45.462857,-122.701659,Agg-MT2,79,128
I-5 A,45.462857,-122.701659,Agg-LT3,55,112
I-5 A,45.462857,-122.701659,Agg-MT3,79,128
I-5 A,45.462857,-122.701659,Agg-XLT,55,112
I-5 A,45.462857,-122.701659,Agg-XMT,79,128
I-5 A,45.462857,-122.701659,Agg-XLT2,55,112
I-5 A,45.462857,-122.701659,Agg-XMT2,79,128
I-5 A,45.462857,-122.701659,Agg-XLT3,55,112
I-5 A,45.462857,-122.701659,Agg-XMT3,79,128
I-5 A,45.462857,-122.701659,Agg-SLT,55,112
I-5 A,45.462857,-122.701659,Agg-SMT,79,128
I-5 A,45.462857,-122.701659,Agg-SLT2,55,112
I-5 A,45.462857,-122.701659,Agg-SMT2,79,128
I-5 A,45.462857,-122.701659,Agg-SLT3,55,112
I-5 A,45.462857,-122.701659,Agg-SMT3,79,128
I-205 C,45.415006,-122.573794,Agg-LT,55,112
I-205 C,45.415006,-122.573794,Agg-MT,79,128
I-205 C,45.415006,-122.573794,Agg-LT2,55,112
I-205 C,45.415006,-122.573794,Agg-MT2,79,128
I-205 C,45.415006,-122.573794,Agg-LT3,55,112
I-205 C,45.415006,-122.573794,Agg-MT3,79,128
I-205 C,45.415006,-122.573794,Agg-XLT,55,112
I-205 C,45.415006,-122.573794,Agg-XMT,79,128
I-205 C,45.415006,-122.573794,Agg-XLT2,55,112
I-205 C,45.415006,-122.573794,Agg-XMT2,79,128
I-205 C,45.415006,-122.573794,Agg-XLT3,55,112
I-205 C,45.415006,-122.573794,Agg-XMT3,79,128
I-205 C,45.415006,-122.573794,Agg-SLT,55,112
I-205 C,45.415006,-122.573794,Agg-SMT,79,128
I-205 C,45.415006,-122.573794,Agg-SLT2,55,112
I-205 C,45.415006,-122.573794,Agg-SMT2,79,128
I-205 C,45.415006,-122.573794,Agg-SLT3,55,112
I-205 C,45.415006,-122.573794,Agg-SMT3,79,128
I-205 D,45.573623,-122.546959,Agg-LT,23.4,105
I-205 D,45.573623,-122.546959,Agg-MT,61.1,140
I-205 D,45.573623,-122.546959,Agg-LT2,23.4,105
I-205 D,45.573623,-122.546959,Agg-MT2,61.1,140
I-205 D,45.573623,-122.546959,Agg-LT3,23.4,105
I-205 D,45.573623,-122.546959,Agg-MT3,61.1,140
I-205 D,45.573623,-122.546959,Agg-XLT,23.4,105
I-205 D,45.573623,-122.546959,Agg-XMT,61.1,140
