PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
ALL,1,ATWORK,183
ALL,1,EATOUT,449
ALL,1,ESCORT,2935
ALL,1,HOME,7872934
ALL,1,OTHDISCR,1177
ALL,1,OTHMAINT,3546
ALL,1,SCHOOL,2878
ALL,1,SHOPPING,1731
ALL,1,SOCIAL,598
ALL,1,UNIVERSITY,249
ALL,1,WORK,8344
ALL,2,ATWORK,580
ALL,2,EATOUT,1006
ALL,2,ESCORT,5902
ALL,2,HOME,7853182
ALL,2,OTHDISCR,2128
ALL,2,OTHMAINT,7546
ALL,2,SCHOOL,4547
ALL,2,SHOPPING,3707
ALL,2,SOCIAL,1246
ALL,2,UNIVERSITY,466
ALL,2,WORK,20654
ALL,3,ATWORK,1211
ALL,3,EATOUT,1685
ALL,3,ESCORT,8625
ALL,3,HOME,7832352
ALL,3,OTHDISCR,3703
ALL,3,OTHMAINT,11436
ALL,3,SCHOOL,5488
ALL,3,SHOPPING,5370
ALL,3,SOCIAL,2076
ALL,3,UNIVERSITY,649
ALL,3,WORK,40734
ALL,4,ATWORK,1940
ALL,4,EATOUT,6530
ALL,4,ESCORT,12907
ALL,4,HOME,7804878
ALL,4,OTHDISCR,6547
ALL,4,OTHMAINT,17413
ALL,4,SCHOOL,6067
ALL,4,SHOPPING,7160
ALL,4,SOCIAL,3454
ALL,4,UNIVERSITY,952
ALL,4,WORK,75659
ALL,5,ATWORK,2907
ALL,5,EATOUT,10570
ALL,5,ESCORT,16933
ALL,5,HOME,7757732
ALL,5,OTHDISCR,17084
ALL,5,OTHMAINT,24282
ALL,5,SCHOOL,6421
ALL,5,SHOPPING,8579
ALL,5,SOCIAL,4919
ALL,5,UNIVERSITY,1504
ALL,5,WORK,150217
ALL,6,ATWORK,3934
ALL,6,EATOUT,14319
ALL,6,ESCORT,25674
ALL,6,HOME,7669233
ALL,6,OTHDISCR,26338
ALL,6,OTHMAINT,35179
ALL,6,SCHOOL,6686
ALL,6,SHOPPING,11458
ALL,6,SOCIAL,6742
ALL,6,UNIVERSITY,2659
ALL,6,WORK,291232
ALL,7,ATWORK,4882
ALL,7,EATOUT,16683
ALL,7,ESCORT,44762
ALL,7,HOME,7515269
ALL,7,OTHDISCR,35184
ALL,7,OTHMAINT,51236
ALL,7,SCHOOL,42043
ALL,7,SHOPPING,17222
ALL,7,SOCIAL,9283
ALL,7,UNIVERSITY,4864
ALL,7,WORK,507585
ALL,8,ATWORK,6469
ALL,8,EATOUT,19361
ALL,8,ESCORT,90548
ALL,8,HOME,7257027
ALL,8,OTHDISCR,44666
ALL,8,OTHMAINT,74234
ALL,8,SCHOOL,190945
ALL,8,SHOPPING,27803
ALL,8,SOCIAL,13193
ALL,8,UNIVERSITY,9591
ALL,8,WORK,826964
ALL,9,ATWORK,9259
ALL,9,EATOUT,24402
ALL,9,ESCORT,202151
ALL,9,HOME,6777114
ALL,9,OTHDISCR,62452
ALL,9,OTHMAINT,107594
ALL,9,SCHOOL,552336
ALL,9,SHOPPING,47187
ALL,9,SOCIAL,23582
ALL,9,UNIVERSITY,19801
ALL,9,WORK,1233696
ALL,10,ATWORK,12949
ALL,10,EATOUT,33770
ALL,10,ESCORT,328456
ALL,10,HOME,5909904
ALL,10,OTHDISCR,86190
ALL,10,OTHMAINT,154275
ALL,10,SCHOOL,941392
ALL,10,SHOPPING,77460
ALL,10,SOCIAL,33727
ALL,10,UNIVERSITY,26560
ALL,10,WORK,1567865
ALL,11,ATWORK,17875
ALL,11,EATOUT,39224
ALL,11,ESCORT,310258
ALL,11,HOME,5036390
ALL,11,OTHDISCR,114393
ALL,11,OTHMAINT,198241
ALL,11,SCHOOL,1147001
ALL,11,SHOPPING,108874
ALL,11,SOCIAL,40527
ALL,11,UNIVERSITY,37458
ALL,11,WORK,1840935
ALL,12,ATWORK,24144
ALL,12,EATOUT,39717
ALL,12,ESCORT,227764
ALL,12,HOME,4460859
ALL,12,OTHDISCR,140160
ALL,12,OTHMAINT,221869
ALL,12,SCHOOL,1208307
