FROM,TO,Work trips SOV,Work trips HOV,Work trips Transit,Non-work SOV,Non-work HOV,Non-work Transit,All SOV,All HOV,All Transit,Work trips All,Non-work All,All Trips
NFulton,NFulton,66057,12388,380,104301,221854,582,170358,234242,962,78825,326737,405562
NFulton,Roswell,15044,2721,118,18417,47217,196,33461,49938,314,17883,65830,83713
NFulton,SandySprings,6259,1046,267,2609,6239,195,8868,7285,462,7572,9043,16615
NFulton,Buckhead,2362,312,170,405,954,38,2767,1266,208,2844,1397,4241
NFulton,NWAtlanta,359,68,34,60,147,5,419,215,39,461,212,673
NFulton,NEAtlanta,1017,163,120,202,479,68,1219,642,188,1300,749,2049
NFulton,SWAtlanta,284,47,40,61,132,15,345,179,55,371,208,579
NFulton,CBDAtlanta,499,89,208,86,209,42,585,298,250,796,337,1133
NFulton,SEAtlanta,184,40,22,51,101,4,235,141,26,246,156,402
NFulton,SFulton,79,21,2,19,49,0,98,70,2,102,68,170
NFulton,Tri-Cities,150,35,8,32,38,2,182,73,10,193,72,265
NFulton,Shannon,59,25,9,23,40,1,82,65,10,93,64,157
NFulton,WCherokee,347,54,0,100,388,1,447,442,1,401,489,890
NFulton,NCherokee,284,47,0,77,241,0,361,288,0,331,318,649
NFulton,ECentCherokee,4375,774,2,2441,8335,11,6816,9109,13,5151,10787,15938
NFulton,Woodstock,2649,477,2,1389,4449,3,4038,4926,5,3128,5841,8969
NFulton,Airport,49,14,3,9,20,0,58,34,3,66,29,95
NFulton,NEClayton,97,27,3,25,43,2,122,70,5,127,70,197
NFulton,Riverdale,37,10,2,14,25,4,51,35,6,49,43,92
NFulton,SClayton,41,17,1,18,14,0,59,31,1,59,32,91
NFulton,NWCobb,1572,271,1,463,1127,12,2035,1398,13,1844,1602,3446
NFulton,NECobb,4817,846,12,2925,8680,24,7742,9526,36,5675,11629,17304
NFulton,SWCobb,265,49,1,52,121,1,317,170,2,315,174,489
NFulton,Marietta,781,149,1,308,587,23,1089,736,24,931,918,1849
NFulton,Cumberland,1651,283,9,286,1056,5,1937,1339,14,1943,1347,3290
NFulton,SCobb,395,77,7,91,167,2,486,244,9,479,260,739
NFulton,Chamblee,3914,735,132,1521,4168,70,5435,4903,202,4781,5759,10540
NFulton,NWDeKalb,1050,154,26,211,557,23,1261,711,49,1230,791,2021
NFulton,NEDeKalb,1323,243,16,395,1042,20,1718,1285,36,1582,1457,3039
NFulton,Atlanta-DeKalb,88,20,11,11,29,1,99,49,12,119,41,160
NFulton,Decatur,126,14,10,22,77,5,148,91,15,150,104,254
NFulton,SWDeKalb,257,47,19,56,97,2,313,144,21,323,155,478
NFulton,SEDeKalb,326,53,13,53,88,0,379,141,13,392,141,533
NFulton,SDeKalb,228,54,15,46,81,1,274,135,16,297,128,425
NFulton,WDouglas,48,8,0,15,25,1,63,33,1,56,41,97
NFulton,EDouglas,105,14,1,36,93,0,141,107,1,120,129,249
NFulton,WFayette,14,4,0,5,32,0,19,36,0,18,37,55
NFulton,EFayette,22,7,2,10,10,0,32,17,2,31,20,51
NFulton,NGwinnett,4463,847,2,1964,6425,6,6427,7272,8,5312,8395,13707
NFulton,CentGwinnett,7676,1527,16,6855,17963,20,14531,19490,36,9219,24838,34057
NFulton,EGwinnett,653,119,0,119,359,0,772,478,0,772,478,1250
NFulton,Norcross,5914,1137,22,3629,10487,20,9543,11624,42,7073,14136,21209
NFulton,Lilburn,704,131,1,331,890,0,1035,1021,1,836,1221,2057
NFulton,Snellville,720,148,1,156,479,1,876,627,2,869,636,1505
NFulton,NHenry,65,9,0,13,59,0,78,68,0,74,72,146
NFulton,EHenry,31,5,0,13,17,1,44,22,1,36,31,67
NFulton,SHenry,24,6,0,10,21,0,34,27,0,30,31,61
NFulton,SRockdale,40,8,0,11,21,0,51,29,0,48,32,80
NFulton,NRockdale,71,18,0,20,40,1,91,58,1,89,61,150
NFulton,NBarrow,191,34,0,33,75,0,224,109,0,225,108,333
NFulton,SBarrow,140,19,0,29,67,0,169,86,0,159,96,255
NFulton,NWBartow,31,9,0,6,8,0,37,17,0,40,14,54
NFulton,NEBartow,76,14,0,29,70,0,105,84,0,90,99,189
NFulton,SWBartow,62,7,0,10,60,0,72,67,0,69,70,139
NFulton,Cartersville,246,35,0,72,78,1,318,113,1,281,151,432
NFulton,NECarroll,12,2,0,2,7,0,14,9,0,14,9,23
NFulton,WCarroll,0,0,0,0,0,0,0,0,0,0,0,0
NFulton,CentralCarroll,5,1,0,3,4,0,8,5,0,6,7,13
NFulton,SECarroll,2,0,0,0,0,0,2,0,0,2,0,2
NFulton,WCoweta,1,0,0,0,0,0,1,0,0,1,0,1
NFulton,NCoweta,24,8,0,5,11,0,29,19,0,32,16,48
NFulton,SCoweta,0,0,0,0,0,0,0,0,0,0,0,0
NFulton,SECoweta,1,1,0,1,1,0,2,2,0,2,2,4
