PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
CHILD AGE 0 TO 4,1,HOME,149760
CHILD AGE 0 TO 4,1,SCHOOL,0
CHILD AGE 0 TO 4,1,ESCORT,0
CHILD AGE 0 TO 4,1,PERS-BUS AND MED,0
CHILD AGE 0 TO 4,1,SHOP,0
CHILD AGE 0 TO 4,1,MEAL,0
CHILD AGE 0 TO 4,1,SOC AND REC,0
CHILD AGE 0 TO 4,2,HOME,149460
CHILD AGE 0 TO 4,2,SCHOOL,0
CHILD AGE 0 TO 4,2,ESCORT,110
CHILD AGE 0 TO 4,2,PERS-BUS AND MED,50
CHILD AGE 0 TO 4,2,SHOP,30
CHILD AGE 0 TO 4,2,MEAL,0
CHILD AGE 0 TO 4,2,SOC AND REC,10
CHILD AGE 0 TO 4,3,HOME,149360
CHILD AGE 0 TO 4,3,SCHOOL,0
CHILD AGE 0 TO 4,3,ESCORT,170
CHILD AGE 0 TO 4,3,PERS-BUS AND MED,100
CHILD AGE 0 TO 4,3,SHOP,60
CHILD AGE 0 TO 4,3,MEAL,20
CHILD AGE 0 TO 4,3,SOC AND REC,50
CHILD AGE 0 TO 4,4,HOME,149250
CHILD AGE 0 TO 4,4,SCHOOL,10
CHILD AGE 0 TO 4,4,ESCORT,190
CHILD AGE 0 TO 4,4,PERS-BUS AND MED,110
CHILD AGE 0 TO 4,4,SHOP,80
CHILD AGE 0 TO 4,4,MEAL,10
CHILD AGE 0 TO 4,4,SOC AND REC,70
CHILD AGE 0 TO 4,5,HOME,149160
CHILD AGE 0 TO 4,5,SCHOOL,10
CHILD AGE 0 TO 4,5,ESCORT,240
CHILD AGE 0 TO 4,5,PERS-BUS AND MED,150
CHILD AGE 0 TO 4,5,SHOP,90
CHILD AGE 0 TO 4,5,MEAL,40
CHILD AGE 0 TO 4,5,SOC AND REC,100
CHILD AGE 0 TO 4,6,HOME,148970
CHILD AGE 0 TO 4,6,SCHOOL,0
CHILD AGE 0 TO 4,6,ESCORT,270
CHILD AGE 0 TO 4,6,PERS-BUS AND MED,210
CHILD AGE 0 TO 4,6,SHOP,110
CHILD AGE 0 TO 4,6,MEAL,50
CHILD AGE 0 TO 4,6,SOC AND REC,120
CHILD AGE 0 TO 4,7,HOME,147920
CHILD AGE 0 TO 4,7,SCHOOL,20
CHILD AGE 0 TO 4,7,ESCORT,420
CHILD AGE 0 TO 4,7,PERS-BUS AND MED,210
CHILD AGE 0 TO 4,7,SHOP,100
CHILD AGE 0 TO 4,7,MEAL,110
CHILD AGE 0 TO 4,7,SOC AND REC,180
CHILD AGE 0 TO 4,8,HOME,145920
CHILD AGE 0 TO 4,8,SCHOOL,370
CHILD AGE 0 TO 4,8,ESCORT,1040
CHILD AGE 0 TO 4,8,PERS-BUS AND MED,700
CHILD AGE 0 TO 4,8,SHOP,200
CHILD AGE 0 TO 4,8,MEAL,240
CHILD AGE 0 TO 4,8,SOC AND REC,660
CHILD AGE 0 TO 4,9,HOME,141580
CHILD AGE 0 TO 4,9,SCHOOL,800
CHILD AGE 0 TO 4,9,ESCORT,1250
CHILD AGE 0 TO 4,9,PERS-BUS AND MED,1060
CHILD AGE 0 TO 4,9,SHOP,470
CHILD AGE 0 TO 4,9,MEAL,250
CHILD AGE 0 TO 4,9,SOC AND REC,1020
CHILD AGE 0 TO 4,10,HOME,132820
CHILD AGE 0 TO 4,10,SCHOOL,6850
CHILD AGE 0 TO 4,10,ESCORT,2030
CHILD AGE 0 TO 4,10,PERS-BUS AND MED,1930
CHILD AGE 0 TO 4,10,SHOP,900
CHILD AGE 0 TO 4,10,MEAL,370
CHILD AGE 0 TO 4,10,SOC AND REC,1830
CHILD AGE 0 TO 4,11,HOME,124480
CHILD AGE 0 TO 4,11,SCHOOL,12340
CHILD AGE 0 TO 4,11,ESCORT,1830
CHILD AGE 0 TO 4,11,PERS-BUS AND MED,2350
CHILD AGE 0 TO 4,11,SHOP,1240
CHILD AGE 0 TO 4,11,MEAL,480
CHILD AGE 0 TO 4,11,SOC AND REC,2480
CHILD AGE 0 TO 4,12,HOME,114860
CHILD AGE 0 TO 4,12,SCHOOL,18580
CHILD AGE 0 TO 4,12,ESCORT,2520
CHILD AGE 0 TO 4,12,PERS-BUS AND MED,3790
CHILD AGE 0 TO 4,12,SHOP,1950
CHILD AGE 0 TO 4,12,MEAL,820
CHILD AGE 0 TO 4,12,SOC AND REC,3930
CHILD AGE 0 TO 4,13,HOME,109620
CHILD AGE 0 TO 4,13,SCHOOL,24050
CHILD AGE 0 TO 4,13,ESCORT,2030
CHILD AGE 0 TO 4,13,PERS-BUS AND MED,4620
CHILD AGE 0 TO 4,13,SHOP,2510
CHILD AGE 0 TO 4,13,MEAL,1030
CHILD AGE 0 TO 4,13,SOC AND REC,4890
CHILD AGE 0 TO 4,14,HOME,106870
CHILD AGE 0 TO 4,14,SCHOOL,25200
CHILD AGE 0 TO 4,14,ESCORT,2050
CHILD AGE 0 TO 4,14,PERS-BUS AND MED,4940
CHILD AGE 0 TO 4,14,SHOP,3020
CHILD AGE 0 TO 4,14,MEAL,1090
CHILD AGE 0 TO 4,14,SOC AND REC,5960
CHILD AGE 0 TO 4,15,HOME,103940
CHILD AGE 0 TO 4,15,SCHOOL,26180
CHILD AGE 0 TO 4,15,ESCORT,2170
CHILD AGE 0 TO 4,15,PERS-BUS AND MED,5500
CHILD AGE 0 TO 4,15,SHOP,3360
CHILD AGE 0 TO 4,15,MEAL,1500
CHILD AGE 0 TO 4,15,SOC AND REC,6590
CHILD AGE 0 TO 4,16,HOME,100580
CHILD AGE 0 TO 4,16,SCHOOL,26430
CHILD AGE 0 TO 4,16,ESCORT,2630
CHILD AGE 0 TO 4,16,PERS-BUS AND MED,6170
CHILD AGE 0 TO 4,16,SHOP,4060
CHILD AGE 0 TO 4,16,MEAL,1750
CHILD AGE 0 TO 4,16,SOC AND REC,7680
CHILD AGE 0 TO 4,17,HOME,98840
CHILD AGE 0 TO 4,17,SCHOOL,26720
CHILD AGE 0 TO 4,17,ESCORT,2500
CHILD AGE 0 TO 4,17,PERS-BUS AND MED,6580
CHILD AGE 0 TO 4,17,SHOP,4050
CHILD AGE 0 TO 4,17,MEAL,2190
CHILD AGE 0 TO 4,17,SOC AND REC,8470
CHILD AGE 0 TO 4,18,HOME,97910
CHILD AGE 0 TO 4,18,SCHOOL,26820
CHILD AGE 0 TO 4,18,ESCORT,2590
CHILD AGE 0 TO 4,18,PERS-BUS AND MED,7090
CHILD AGE 0 TO 4,18,SHOP,4260
CHILD AGE 0 TO 4,18,MEAL,2250
CHILD AGE 0 TO 4,18,SOC AND REC,9170
CHILD AGE 0 TO 4,19,HOME,97200
CHILD AGE 0 TO 4,19,SCHOOL,26800
CHILD AGE 0 TO 4,19,ESCORT,2440
CHILD AGE 0 TO 4,19,PERS-BUS AND MED,6970
CHILD AGE 0 TO 4,19,SHOP,4600
CHILD AGE 0 TO 4,19,MEAL,2240
CHILD AGE 0 TO 4,19,SOC AND REC,9740
CHILD AGE 0 TO 4,20,HOME,97110
CHILD AGE 0 TO 4,20,SCHOOL,26750
CHILD AGE 0 TO 4,20,ESCORT,2330
CHILD AGE 0 TO 4,20,PERS-BUS AND MED,6630
CHILD AGE 0 TO 4,20,SHOP,4660
CHILD AGE 0 TO 4,20,MEAL,2470
CHILD AGE 0 TO 4,20,SOC AND REC,10270
CHILD AGE 0 TO 4,21,HOME,96880
CHILD AGE 0 TO 4,21,SCHOOL,26380
CHILD AGE 0 TO 4,21,ESCORT,2230
CHILD AGE 0 TO 4,21,PERS-BUS AND MED,6720
CHILD AGE 0 TO 4,21,SHOP,4590
CHILD AGE 0 TO 4,21,MEAL,2480
CHILD AGE 0 TO 4,21,SOC AND REC,10850
CHILD AGE 0 TO 4,22,HOME,97250
CHILD AGE 0 TO 4,22,SCHOOL,25170
CHILD AGE 0 TO 4,22,ESCORT,2080
CHILD AGE 0 TO 4,22,PERS-BUS AND MED,6650
CHILD AGE 0 TO 4,22,SHOP,4680
CHILD AGE 0 TO 4,22,MEAL,2440
CHILD AGE 0 TO 4,22,SOC AND REC,11100
CHILD AGE 0 TO 4,23,HOME,97810
CHILD AGE 0 TO 4,23,SCHOOL,23980
CHILD AGE 0 TO 4,23,ESCORT,2240
CHILD AGE 0 TO 4,23,PERS-BUS AND MED,6740
CHILD AGE 0 TO 4,23,SHOP,4830
CHILD AGE 0 TO 4,23,MEAL,2680
CHILD AGE 0 TO 4,23,SOC AND REC,10910
CHILD AGE 0 TO 4,24,HOME,99330
CHILD AGE 0 TO 4,24,SCHOOL,22160
CHILD AGE 0 TO 4,24,ESCORT,2110
CHILD AGE 0 TO 4,24,PERS-BUS AND MED,6610
CHILD AGE 0 TO 4,24,SHOP,4810
CHILD AGE 0 TO 4,24,MEAL,2660
CHILD AGE 0 TO 4,24,SOC AND REC,11540
CHILD AGE 0 TO 4,25,HOME,100370
CHILD AGE 0 TO 4,25,SCHOOL,19500
CHILD AGE 0 TO 4,25,ESCORT,2420
CHILD AGE 0 TO 4,25,PERS-BUS AND MED,6860
CHILD AGE 0 TO 4,25,SHOP,5080
CHILD AGE 0 TO 4,25,MEAL,2760
CHILD AGE 0 TO 4,25,SOC AND REC,11860
CHILD AGE 0 TO 4,26,HOME,103940
