PERSON_TYPE,PER,ORIG_PURPOSE,QUANTITY
CHILD AGE 0 TO 4,1,HOME,137632.576653
CHILD AGE 0 TO 4,1,WORK,0.0
CHILD AGE 0 TO 4,1,SCHOOL,0.0
CHILD AGE 0 TO 4,1,ESCORT,0.0
CHILD AGE 0 TO 4,1,PERS-BUS AND MED,0.0
CHILD AGE 0 TO 4,1,SHOP,0.0
CHILD AGE 0 TO 4,1,MEAL,0.0
CHILD AGE 0 TO 4,1,SOC AND REC,0.0
CHILD AGE 0 TO 4,2,HOME,147593.934675
CHILD AGE 0 TO 4,2,WORK,0.0
CHILD AGE 0 TO 4,2,SCHOOL,0.0
CHILD AGE 0 TO 4,2,ESCORT,0.0
CHILD AGE 0 TO 4,2,PERS-BUS AND MED,0.0
CHILD AGE 0 TO 4,2,SHOP,0.0
CHILD AGE 0 TO 4,2,MEAL,0.0
CHILD AGE 0 TO 4,2,SOC AND REC,0.0
CHILD AGE 0 TO 4,3,HOME,152580.161149
CHILD AGE 0 TO 4,3,WORK,0.0
CHILD AGE 0 TO 4,3,SCHOOL,0.0
CHILD AGE 0 TO 4,3,ESCORT,0.0
CHILD AGE 0 TO 4,3,PERS-BUS AND MED,0.0
CHILD AGE 0 TO 4,3,SHOP,0.0
CHILD AGE 0 TO 4,3,MEAL,0.0
CHILD AGE 0 TO 4,3,SOC AND REC,20.9457
CHILD AGE 0 TO 4,4,HOME,145377.888585
CHILD AGE 0 TO 4,4,WORK,0.0
CHILD AGE 0 TO 4,4,SCHOOL,0.0
CHILD AGE 0 TO 4,4,ESCORT,0.0
CHILD AGE 0 TO 4,4,PERS-BUS AND MED,0.0
CHILD AGE 0 TO 4,4,SHOP,0.0
CHILD AGE 0 TO 4,4,MEAL,0.0
CHILD AGE 0 TO 4,4,SOC AND REC,20.9457
CHILD AGE 0 TO 4,5,HOME,152911.109891
CHILD AGE 0 TO 4,5,WORK,0.0
CHILD AGE 0 TO 4,5,SCHOOL,0.0
CHILD AGE 0 TO 4,5,ESCORT,0.0
CHILD AGE 0 TO 4,5,PERS-BUS AND MED,0.0
