Person Group,Day Pattern,Count
Child too young for school,H,140975
Child too young for school,M,248868
Child too young for school,N,213499
Full-time worker,H,428557
Full-time worker,M,2261097
Full-time worker,N,414175
Non-worker,H,316094
Non-worker,N,519547
Part-time worker,H,94881
Part-time worker,M,372238
Part-time worker,N,225832
Retired,H,585029
Retired,N,583147
Student of driving age,H,24666
Student of driving age,M,201028
Student of driving age,N,18528
Student of non-driving age,H,76780
Student of non-driving age,M,870662
Student of non-driving age,N,84719
University student,H,47057
University student,M,151615
University student,N,58572
