PERSON GROUP,DAY PATTERN,Count,CHART
Child too young for school,Home,26377,CHART1
Child too young for school,Mandatory,70203,CHART1
Child too young for school,Non-mandatory,48275,CHART1
Full-time worker,Home,170928,CHART1
Full-time worker,Mandatory,830965,CHART1
Full-time worker,Non-mandatory,155723,CHART1
Non-worker,Home,14560,CHART1
Non-worker,Non-mandatory,17979,CHART1
Part-time worker,Home,40686,CHART1
Part-time worker,Mandatory,182345,CHART1
Part-time worker,Non-mandatory,104203,CHART1
Retired,Home,405433,CHART1
Retired,Non-mandatory,386094,CHART1
Student of driving age,Home,3086,CHART1
Student of driving age,Mandatory,28905,CHART1
Student of driving age,Non-mandatory,1295,CHART1
Student of non-driving age,Home,15060,CHART1
Student of non-driving age,Mandatory,197677,CHART1
Student of non-driving age,Non-mandatory,19720,CHART1
University student,Home,6672,CHART1
University student,Mandatory,25340,CHART1
University student,Non-mandatory,9925,CHART1
